game_id,player_id,player_name,expected_points,actual_points
21400001,2557,Luke Ridnour,1.835240275,0
21400001,2584,Willie Green,0.606060606,0
21400001,2732,Ben Gordon,7.850354027,2
21400001,201569,Eric Gordon,7.365596746,7
21400001,201582,Alexis Ajinca,0.886075949,2
21400001,201583,Ryan Anderson,22.75660555,21
21400001,201600,Omer Asik,10.51637568,14
21400001,201936,Tyreke Evans,14.6407715,10
21400001,201950,Jrue Holiday,11.49945993,8
21400001,202690,Jimmer Fredette,4.428678707,0
21400001,202696,Nikola Vucevic,16.28029483,14
21400001,202699,Tobias Harris,20.05647373,19
21400001,203076,Anthony Davis,26.6170692,20
21400001,203085,Austin Rivers,4.536878614,4
21400001,203095,Evan Fournier,9.336630181,8
21400001,203124,Kyle O'Quinn,7.524347084,4
21400001,203473,Dewayne Dedmon,2.547276634,2
21400001,203481,Jeff Withey,1.223529412,0
21400001,203901,Elfrid Payton,8.413434203,4
21400001,203906,Devyn Marble,1.809230769,4
21400001,203932,Aaron Gordon,7.027353246,11
21400002,1495,Tim Duncan,10.39381268,10
21400002,1717,Dirk Nowitzki,10.63656406,14
21400002,1938,Manu Ginobili,12.87623966,14
21400002,2199,Tyson Chandler,9.503176183,8
21400002,2210,Richard Jefferson,2.8825807,3
21400002,2225,Tony Parker,15.78707182,22
21400002,2564,Boris Diaw,6.242556151,5
21400002,2588,Matt Bonner,1.853855721,0
21400002,2734,Devin Harris,10.90812288,14
21400002,2749,Jameer Nelson,7.29478951,9
21400002,101145,Monta Ellis,20.50549973,23
21400002,201148,Brandan Wright,2.769177345,4
21400002,201158,Marco Belinelli,8.832074506,13
21400002,201980,Danny Green,9.390520214,13
21400002,202329,Al-Farouq Aminu,2.020252309,0
21400002,202709,Cory Joseph,4.480096714,7
21400002,202718,Chandler Parsons,10.67341907,5
21400002,203109,Jae Crowder,1.654581329,4
21400002,203382,Aron Baynes,3.409587486,4
21400003,977,Kobe Bryant,13.37477915,12
21400003,1891,Jason Terry,5.0941801,8
21400003,2430,Carlos Boozer,12.62504459,14
21400003,2730,Dwight Howard,5.845810053,6
21400003,2772,Trevor Ariza,9.694030885,15
21400003,101179,Ronnie Price,5.875760295,3
21400003,201935,James Harden,16.36444429,17
21400003,201941,Jordan Hill,7.275000096,4
21400003,201976,Patrick Beverley,6.159248101,6
21400003,202325,Wesley Johnson,6.787603103,7
21400003,202333,Xavier Henry,2.4,0
21400003,202334,Ed Davis,7.704536191,10
21400003,202391,Jeremy Lin,5.139860015,2
21400003,203093,Terrence Jones,16.00214381,16
21400003,203123,Kostas Papanikolaou,6.390679706,4
21400003,203135,Robert Sacre,3.776567238,2
21400003,203477,Isaiah Canaan,1.064516129,0
21400003,203584,Troy Daniels,6.902937734,0
21400003,203903,Jordan Clarkson,3.602467475,3
21400003,203944,Julius Randle,2.445308877,2
21400003,204028,Tarik Black,2.151788152,2
21400004,2585,Zaza Pachulia,4.159810092,4
21400004,2744,Al Jefferson,13.13369685,12
21400004,101107,Marvin Williams,12.88875898,19
21400004,101131,Jason Maxiell,3.495104895,4
21400004,101141,Ersan Ilyasova,2.877135067,6
21400004,201162,Jared Dudley,1.208144796,3
21400004,201564,O.J. Mayo,9.269803994,15
21400004,201573,Jerryd Bayless,2.255607428,4
21400004,201945,Gerald Henderson,1.652388026,0
21400004,202336,Larry Sanders,8.393298069,10
21400004,202362,Lance Stephenson,10.53556045,6
21400004,202390,Gary Neal,9.523483706,4
21400004,202688,Brandon Knight,16.67831293,12
21400004,202689,Kemba Walker,25.2706586,21
21400004,203077,Michael Kidd-Gilchrist,8.357432214,12
21400004,203089,John Henson,3.877931841,4
21400004,203114,Khris Middleton,14.52142028,14
21400004,203148,Brian Roberts,3.849227161,4
21400004,203469,Cody Zeller,5.994266917,6
21400004,203507,Giannis Antetokounmpo,6.277227095,7
21400004,203953,Jabari Parker,7.936199784,6
21400005,2449,Luis Scola,7.807366073,10
21400005,101133,Ian Mahinmi,5.08763438,4
21400005,101139,CJ Miles,16.35398003,14
21400005,201155,Rodney Stuckey,8.73186699,12
21400005,201579,Roy Hibbert,7.744403068,12
21400005,202388,Donald Sloan,12.65792786,13
21400005,202730,Lavoy Allen,5.169107106,6
21400005,202952,Malcolm Thomas,1.885714286,2
21400005,203100,Tony Wroten,17.71558164,19
21400005,203138,Hollis Thompson,4.956057096,5
21400005,203142,Chris Copeland,9.890815783,10
21400005,203144,Alexey Shved,10.53768626,13
21400005,203156,Henry Sims,8.479331141,8
21400005,203187,Chris Johnson,9.097549869,11
21400005,203457,Nerlens Noel,10.6859093,4
21400005,203524,Solomon Hill,2.724629752,3
21400005,203561,Brandon Davies,9.154173586,10
21400005,203909,KJ McDaniels,4.279557123,2
21400005,203960,JaKarr Sampson,3.025099687,0
21400005,204014,Damjan Rudez,2.305432373,0
21400006,708,Kevin Garnett,6.973410668,10
21400006,1905,Andrei Kirilenko,0,0
21400006,2207,Joe Johnson,19.85896077,16
21400006,101114,Deron Williams,14.17379022,12
21400006,101127,Jarrett Jack,8.327018771,10
21400006,101138,Brandon Bass,6.847410085,8
21400006,101187,Alan Anderson,4.170438472,2
21400006,200765,Rajon Rondo,7.745139651,13
21400006,201145,Jeff Green,8.6923557,10
21400006,201977,Marcus Thornton,5.906779667,9
21400006,202323,Evan Turner,7.484824333,10
21400006,202340,Avery Bradley,13.57256126,15
21400006,202711,Bojan Bogdanovic,6.692263803,7
21400006,203092,Tyler Zeller,4.921714888,6
21400006,203096,Jared Sullinger,9.044599621,11
21400006,203141,Mirza Teletovic,11.77761891,20
21400006,203482,Kelly Olynyk,16.22675361,17
21400006,203486,Mason Plumlee,2.354368932,4
21400006,203928,Cory Jefferson,1.911018711,4
21400006,203935,Marcus Smart,7.633172904,7
21400007,1718,Paul Pierce,10.42531793,13
21400007,1889,Andre Miller,0.545454545,0
21400007,2365,Chris Andersen,2.796977124,4
21400007,2400,Drew Gooden,9.696633638,17
21400007,2446,Rasual Butler,3.05341478,3
21400007,2547,Chris Bosh,19.2140265,21
21400007,2548,Dwyane Wade,16.89709371,18
21400007,2736,Luol Deng,8.200422703,8
21400007,2743,Kris Humphries,5.191706336,4
21400007,101162,Marcin Gortat,15.6288634,14
21400007,200761,Shawne Williams,8.195527612,2
21400007,201596,Mario Chalmers,6.603688504,7
21400007,202066,Garrett Temple,8.978878755,6
21400007,202322,John Wall,12.44559604,12
21400007,202338,Kevin Seraphin,2.191515152,0
21400007,202708,Norris Cole,14.56520069,21
21400007,203490,Otto Porter Jr.,7.533389734,9
21400007,203516,James Ennis III,4.492192146,4
21400007,203894,Shabazz Napier,1.939556962,2
21400008,1882,Elton Brand,0.967741935,2
21400008,2594,Kyle Korver,12.42869515,20
21400008,101150,Lou Williams,7.491534136,7
21400008,101161,Amir Johnson,17.38993545,14
21400008,200757,Thabo Sefolosha,2.915470992,0
21400008,200768,Kyle Lowry,11.12431388,6
21400008,200794,Paul Millsap,13.85975718,8
21400008,201143,Al Horford,15.03251091,12
21400008,201942,DeMar DeRozan,14.03977216,8
21400008,201946,Tyler Hansbrough,2.088235294,4
21400008,201949,James Johnson,1.719585379,0
21400008,201952,Jeff Teague,12.6328665,17
21400008,201960,DeMarre Carroll,7.249009339,10
21400008,202335,Patrick Patterson,9.966202065,10
21400008,202349,Greivis Vasquez,10.37520335,12
21400008,202685,Jonas Valanciunas,5.871403928,8
21400008,202714,Shelvin Mack,6.045801401,2
21400008,203082,Terrence Ross,11.78047757,13
